"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 10:31:00 GMT+0530 (India Standard Time)","155.35","157.20","151.20","153.90","149.60","162.01","137.19","174.43","124.77","186.84","112.36","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8823295.00","589420.00"
"Wed Jul 15 2026 10:32:00 GMT+0530 (India Standard Time)","153.90","154.30","150.80","153.75","149.62","162.00","137.23","174.39","124.85","186.77","112.46","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8755890.00","295360.00"
"Wed Jul 15 2026 10:33:00 GMT+0530 (India Standard Time)","153.75","154.10","151.30","152.45","149.63","161.99","137.26","174.36","124.90","186.72","112.53","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8795280.00","215670.00"
"Wed Jul 15 2026 10:34:00 GMT+0530 (India Standard Time)","152.45","153.80","151.00","151.95","149.64","161.98","137.29","174.33","124.95","186.67","112.60","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8850660.00","220285.00"
"Wed Jul 15 2026 10:35:00 GMT+0530 (India Standard Time)","151.95","152.45","150.50","151.80","149.65","161.96","137.33","174.28","125.01","186.60","112.69","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8876790.00","286390.00"
"Wed Jul 15 2026 10:36:00 GMT+0530 (India Standard Time)","151.80","152.45","148.45","149.15","149.65","161.91","137.39","174.17","125.12","186.44","112.86","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8938410.00","558415.00"
"Wed Jul 15 2026 10:37:00 GMT+0530 (India Standard Time)","149.15","149.25","147.10","148.70","149.64","161.86","137.42","174.08","125.20","186.31","112.97","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8917675.00","416455.00"
"Wed Jul 15 2026 10:38:00 GMT+0530 (India Standard Time)","148.70","149.20","146.05","148.50","149.63","161.81","137.45","174.00","125.26","186.18","113.08","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8933145.00","402415.00"
"Wed Jul 15 2026 10:39:00 GMT+0530 (India Standard Time)","148.25","150.70","147.95","150.00","149.63","161.77","137.49","173.92","125.34","186.06","113.20","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8946925.00","431340.00"
"Wed Jul 15 2026 10:40:00 GMT+0530 (India Standard Time)","149.70","150.75","149.35","150.00","149.63","161.75","137.52","173.86","125.40","185.97","113.29","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9041825.00","304330.00"
"Wed Jul 15 2026 10:41:00 GMT+0530 (India Standard Time)","150.00","152.40","149.70","151.85","149.64","161.71","137.57","173.79","125.50","185.86","113.43","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9145045.00","475150.00"
"Wed Jul 15 2026 10:42:00 GMT+0530 (India Standard Time)","151.80","155.80","151.80","155.00","149.70","161.71","137.69","173.71","125.69","185.72","113.68","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9150830.00","825825.00"
"Wed Jul 15 2026 10:43:00 GMT+0530 (India Standard Time)","155.00","156.05","152.50","153.10","149.74","161.70","137.79","173.65","125.83","185.60","113.88","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9182940.00","643435.00"
"Wed Jul 15 2026 10:44:00 GMT+0530 (India Standard Time)","153.10","154.90","152.10","153.55","149.76","161.69","137.83","173.62","125.90","185.55","113.97","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9238385.00","298740.00"
"Wed Jul 15 2026 10:45:00 GMT+0530 (India Standard Time)","153.55","156.00","153.55","155.30","149.79","161.69","137.89","173.59","125.99","185.49","114.08","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9252295.00","398190.00"
"Wed Jul 15 2026 10:46:00 GMT+0530 (India Standard Time)","155.30","157.40","153.35","153.80","149.82","161.69","137.95","173.56","126.08","185.43","114.21","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9252230.00","424970.00"
"Wed Jul 15 2026 10:47:00 GMT+0530 (India Standard Time)","153.80","154.30","152.60","153.60","149.83","161.69","137.98","173.54","126.13","185.39","114.28","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9251905.00","234780.00"
"Wed Jul 15 2026 10:48:00 GMT+0530 (India Standard Time)","153.60","153.75","150.60","151.20","149.84","161.67","138.01","173.50","126.19","185.32","114.36","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9252490.00","290615.00"
"Wed Jul 15 2026 10:49:00 GMT+0530 (India Standard Time)","151.25","154.80","151.20","152.20","149.85","161.66","138.04","173.47","126.23","185.28","114.42","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9233185.00","225615.00"
"Wed Jul 15 2026 10:50:00 GMT+0530 (India Standard Time)","152.20","152.45","149.70","150.35","149.86","161.64","138.08","173.42","126.30","185.20","114.52","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9308325.00","341185.00"
"Wed Jul 15 2026 10:51:00 GMT+0530 (India Standard Time)","150.35","150.95","146.60","147.40","149.85","161.58","138.11","173.32","126.37","185.06","114.63","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9364550.00","489840.00"
"Wed Jul 15 2026 10:52:00 GMT+0530 (India Standard Time)","147.40","150.25","145.60","150.20","149.84","161.54","138.14","173.23","126.44","184.93","114.74","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9323015.00","483925.00"
"Wed Jul 15 2026 10:53:00 GMT+0530 (India Standard Time)","150.20","153.75","149.80","152.30","149.85","161.51","138.20","173.17","126.54","184.82","114.88","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9347195.00","508105.00"
